title,genres,product rating,user score,user ratings count,platform,metascore,metascore_count,img,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release date,last_update
4X4 EVO 2,Auto Racing Sim,Rated E For Everyone,,,XB,59,15,/games/boxart/5011937ccc.jpg,Gathering of Developers,Terminal Reality,,0.24,0.18,,0.05,0.01,2001-11-14,
4X4 EVO 2,Auto Racing Sim,Rated E For Everyone,,,GC,56,7,/games/boxart/6083195ccc.jpg,VU Games,Terminal Reality,5.1,0.14,0.11,,0.03,0.0,2002-09-09,
Gothic 3,Western RPG,Rated T For Teen,7.5,832.0,PC,63,39,/games/boxart/3146876ccc.jpg,Aspyr,Piranha Bytes,6.8,,,,,,2006-11-14,
Guitar Hero III: Legends of Rock,Rhythm,Rated T For Teen,8.4,144.0,Wii,86,36,/games/boxart/full_2081446AmericaFrontccc.jpg,RedOctane,Vicarious Visions,8.6,4.6,3.04,0.0,1.12,0.44,2007-10-28,
Guitar Hero III: Legends of Rock,Rhythm,Rated T For Teen,8.4,144.0,PS2,82,24,/games/boxart/full_5372169AmericaFrontccc.jpg,RedOctane,BudCat Creations,8.2,4.98,3.49,0.01,0.01,1.48,2007-10-28,
Guitar Hero III: Legends of Rock,Rhythm,Rated T For Teen,8.4,144.0,PS3,83,45,/games/boxart/full_7921457AmericaFrontccc.jpg,RedOctane,Neversoft,8.2,2.25,1.4,0.02,0.53,0.3,2007-10-28,
Guitar Hero III: Legends of Rock,Rhythm,Rated T For Teen,8.4,144.0,X360,85,69,/games/boxart/full_3667121PALFrontccc.jpg,RedOctane,Neversoft,8.7,4.53,3.19,0.01,0.91,0.42,2007-10-28,
Guitar Hero III: Legends of Rock,Rhythm,Rated T For Teen,8.4,144.0,PC,79,15,/games/boxart/2572111ccc.jpg,Aspyr,Aspyr,,0.02,0.02,,,0.0,2007-11-13,
Xenoraid,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,6.0,NS,61,6,/games/boxart/full_5432569AmericaFrontccc.png,10tons Ltd,10tons Ltd,,,,,,,2017-11-17,2018-03-26
Retrovirus,FPS,,6.6,20.0,PC,70,12,/games/boxart/full_139033AmericaFrontccc.jpg,Cadenza Interactive,Cadenza Interactive,,,,,,,2013-01-31,2019-03-24
"Warhammer 40,000: Space Marine",Third Person Shooter,Rated M For Mature,7.8,259.0,PC,74,34,/games/boxart/full_warhammer-40000-space-marine_997AmericaFront.jpg,THQ,Relic Entertainment,7.7,,,,,,2011-09-06,
"Warhammer 40,000: Space Marine",Third Person Shooter,Rated M For Mature,7.8,259.0,X360,76,57,/games/boxart/full_warhammer-40000-space-marine_522AmericaFront.jpg,THQ,Relic Entertainment,7.3,0.56,0.25,,0.26,0.06,2011-09-06,
